date,regime,prob_RANGING,prob_TREND,prob_HIGH_VOL
2026-07-17,RANGING,0.999999204421645,3.2210947525928337e-07,4.7346877890507983e-07
2026-07-20,RANGING,0.9999989925132086,6.882837778394261e-07,3.1920154559957623e-07
2026-07-21,TREND,7.115337863548678e-07,0.9999981429081308,1.1455590936065915e-06
2026-07-22,RANGING,0.9986657901939455,0.00133398282049766,2.269852958858491e-07
2026-07-23,TREND,4.857417337041435e-07,0.9999965448064934,2.969453359513282e-06
2026-07-24,RANGING,0.9987270331017905,0.0012724291770319462,5.377212963271926e-07
2026-07-27,TREND,1.5114387366431318e-07,0.9999995074359808,3.4141996560169835e-07
2026-07-28,RANGING,0.9999999871106412,3.3091679853347773e-10,1.2559118608000946e-08
2026-07-29,RANGING,0.9999999902538548,1.8455052628727378e-10,9.561809548262637e-09
2026-07-30,TREND,8.20501434601608e-06,0.9999185312926876,7.326369263805724e-05
2026-07-31,RANGING,0.9999999624342315,8.756351124881295e-09,2.8808794234730644e-08
2026-08-03,TREND,7.52531981612976e-07,0.999998462991515,7.844764254551445e-07
2026-08-04,TREND,3.6789825644563783e-07,0.9999982069182511,1.4251849144945512e-06
2026-08-05,TREND,2.5504737173730437e-07,0.9999984869512069,1.2580023861026958e-06
2026-08-06,RANGING,0.999999993644451,7.863187112160873e-10,5.570366442406892e-09
2026-08-07,TREND,6.930701349601078e-08,0.9999970866780732,2.844013854705097e-06
2026-08-10,RANGING,0.9983505982415426,0.0016481125718663349,1.2891873785799781e-06
2026-08-11,TREND,2.6224451732799594e-08,0.9999968236639202,3.1501112120032612e-06
2026-08-12,RANGING,0.9999999902975105,1.647252552254713e-10,9.537352154309193e-09
2026-08-13,RANGING,0.9999999848987501,5.666836251878489e-13,1.5100157466244382e-08
2026-08-14,RANGING,0.9999999902465788,3.658717535010043e-11,9.715535449800197e-09
2026-08-17,RANGING,0.9999999915307853,3.2237651576840854e-11,8.435852145186736e-09
2026-08-18,RANGING,0.9999999920655682,1.695359956753888e-11,7.919270969388087e-09
2026-08-19,RANGING,0.9999986808915824,3.5328068635822206e-09,1.3155756201887103e-06
2026-08-20,RANGING,0.9999990098154186,2.5736539107086444e-08,9.6444873615812e-07
2026-08-21,TREND,1.7637565749354097e-09,0.999968041412563,3.1956822839182015e-05
2026-08-24,TREND,6.741856876182377e-10,0.9998726241686445,0.0001273751583895162
2026-08-25,RANGING,0.9999999614628913,8.454679389689201e-10,3.7691289054901684e-08
2026-08-26,TREND,8.194652300991855e-14,0.9998588903979212,0.0001411096008391772
2026-08-27,TREND,4.135182202204221e-11,0.9996554228467935,0.00034457711050286136
